OBJECTID,NAME,OWNER,NOTES,CITY,FEATTYPE,STATUS,SOURCE,SOURCE_YEAR,ShapeSTArea,ShapeSTLength
2222,Lone Star Trail,City of Grand Prairie,Linear,Grand Prairie,Local Park,Existing,City of Grand Prairie,2019,221195.340820312,33062.5171553395
2223,Prairie Park,City of Grand Prairie,Community Park,Grand Prairie,Local Park,Existing,City of Grand Prairie,2019,2131618.83496094,18489.0112765995
2224,Park,,,Mansfield,Local Park,Existing,City of Mansfield,2020,185729.567382812,2088.10782484775
2225,Crestwater Park,,,Mansfield,Local Park,Existing,City of Mansfield,2020,74223.2373046875,1276.09370517548
2226,Donald R Barg Park,,,Mansfield,Local Park,Existing,City of Mansfield,2020,196013.838867188,2267.78371168865
2227,Walnut Creek Linear Trail,,Linear,Mansfield,Local Park,Existing,City of Mansfield,2020,338065.171875,5177.61864641043
2228,McClendon Park East,,,Mansfield,Local Park,Existing,City of Mansfield,2020,738481.118164062,4806.49072018973
2229,Undeveloped Park Land,,,Mansfield,Local Park,Existing,City of Mansfield,2020,243603.811523438,2777.76742468604
2230,Woodland Estates Park,,,Mansfield,Local Park,Existing,City of Mansfield/PADUSA,2020,1641498.90820312,13631.7789085558
2231,Arbor Hills Nature Preserve,Plano Parks,City Wide Open Space Preserves,Plano,Local Park,Existing,City of Plano,2020,9048322.63964844,14440.7468225424
2232,Archgate Park,Plano Parks,Community Park,Plano,Local Park,Existing,City of Plano,2020,2143111.56445312,7191.58408605955
2233,Bluebonnet Trail,Plano Parks,Linear Parks,Plano,Local Park,Existing,City of Plano,2020,4551760.17578125,46200.8011214986
2234,Breckinridge Trail,Plano Parks,Linear Parks,Plano,Local Park,Existing,City of Plano,2020,1510754.37890625,19767.1918762784
2235,Chisholm Trail,Plano Parks,Linear Parks,Plano,Local Park,Existing,City of Plano,2020,4229729.39257812,41769.3927985205
2236,Cottonwood Creek Greenbelt,Plano Parks,Linear Parks,Plano,Local Park,Existing,City of Plano,2020,5417068.55078125,33815.2811592503
2237,Oak Point Park and Nature Preserve,Plano Parks,City Wide Open Space Preserves,Plano,Local Park,Existing,City of Plano,2020,34724388.1386719,55404.2586542534
2238,Evans Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,472459.166015625,4589.78703735031
2239,Harrington Park,Plano Parks,Community Park,Plano,Local Park,Existing,City of Plano,2020,859982.025390625,5909.93995482128
2240,Legacy Trail,Plano Parks,Linear Parks,Plano,Local Park,Existing,City of Plano,2020,6537943.13378906,58319.4893519522
2241,Prairie Meadow Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,364253.572265625,2638.57988373478
2242,Ridgeview Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,320205.107421875,2315.58766443787
2243,Rowlett Trail,Plano Parks,Linear Parks,Plano,Local Park,Existing,City of Plano,2020,163195.267578125,2074.46486998073
2244,Santa Fe Trail,Plano Parks,Linear Parks,Plano,Local Park,Existing,City of Plano,2020,1251876.15429688,16309.6159476136
2245,Sgt Mike McCreary Sports Fields,Plano Parks,Community Park,Plano,Local Park,Existing,City of Plano,2020,173229.947265625,1668.66739194584
2246,Shady Brook Trail,Plano Parks,Linear Parks,Plano,Local Park,Existing,City of Plano,2020,1537757.34375,23659.4634021307
2247,Suncreek Park,Plano Parks,Linear Parks,Plano,Local Park,Existing,City of Plano,2020,604855.109375,4982.43660725205
2248,Cedar Grove Park,Town,Neighborhood Park,Prosper,Local Park,Existing,Town of Prosper,2020,427767.1015625,2684.37232264812
2249,Lakes of La Cima Amenity Center,HOA-Private,Amenity Center,Prosper,Local Park,Existing,Town of Prosper,2020,32591.427734375,767.031369212125
2250,Lakes of Prosper Amenity Center,HOA-Private,Amenity Center,Prosper,Local Park,Existing,Town of Prosper,2020,246697.416015625,2369.3279363783
2251,Lakewood Neighborhood Park,HOA-Private,Lakewood Neighborhood Park,Prosper,Local Park,Existing,Town of Prosper,2020,283961.4296875,3604.71683923177
2252,Lakewood Preserve,Town,Community Park,Prosper,Local Park,Existing,Town of Prosper,2020,1072213.18945312,5192.03474061268
2253,Prairie Park,Town,Neighborhood Park,Prosper,Local Park,Existing,Town of Prosper,2020,312203.96875,2997.39323284429
2254,Preserve at Doe Creek,HOA-Private,Pocket Park,Prosper,Local Park,Existing,Town of Prosper,2020,53752.296875,1347.18664949063
2255,Prosper Center,HOA-Private,Pocket Park,Prosper,Local Park,Existing,Town of Prosper,2020,81400.83984375,1267.75589479205
2256,Prosper Center Community Park,Town-Undev,Community Park (Undeveloped),Prosper,Local Park,Existing,Town of Prosper,2020,1148614.59960938,5532.66147594879
2257,Prosper Trail Amenity Center,HOA-Private,Amenity Center (Undeveloped),Prosper,Local Park,Existing,Town of Prosper,2020,161326.205078125,1731.20241457659
2258,Star Trail Amenity Center,HOA-Private,Amenity Center (Undeveloped),Prosper,Local Park,Existing,Town of Prosper,2020,249419.283203125,1936.15600388477
2259,Star Trail Park,Town-Undev,Neighborhood Park (Undeveloped),Prosper,Local Park,Existing,Town of Prosper,2020,329723.8046875,2263.16145686266
2260,Tanner's Mill Park,Town-Undev,Neighborhood Park (Undeveloped),Prosper,Local Park,Existing,Town of Prosper,2020,386993.421875,2481.07601690612
2261,Whispering Farms Hike & Bike,HOA-Private,Greenbelt/Trail Corridor,Prosper,Local Park,Existing,Town of Prosper,2020,338129.990234375,18964.0721676785
